rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt"
1,Louisville,Amer,31-6,119.36526339614247,10,88.22068648376072,2,0.9700258592669005,1,31,6,15,3,15-3,0.6012254631817334,0.45093611915922405,0.6634280728636361,0.6012254631817334,0.45093611915922405,0.6634280728636361,0.7735072633820355,0.8650860300460941,107.55648128879862,102.51444573955469,107.55648128879862,102.51444573955469,118.81991263052169,88.4425535070043,127.17520274930997,98.3217091996359,0.9506960223823746,12,-0.06806273964504406,1435.0,1121.0,1237.275,1.1598068335656988,0.9060233173708351,0,0.8333333333333334,5.384988916548872,15,303,66.80435118146157
2,Arizona,P12,33-5,116.73227727224437,19,88.06505187929096,1,0.9623405382221534,2,33,5,15,3,15-3,0.706021807367389,0.5746069629789967,0.7568158583200373,0.706021807367389,0.5746069629789967,0.7568158583200373,0.7008925875614874,0.7828753023683329,110.45206002984507,100.41130509562218,110.45206002984507,100.41130509562218,113.07613673631913,86.58710129705294,120.1971527179811,91.08768242725371,0.9604210208580757,16,0.023237309550654617,1287.0,1083.0,1189.775,1.0817171313903888,0.9102561408669706,0,0.8333333333333334,9.476380850891202,2,129,62.34410475523421
3,Florida,SEC,36-3,116.40054113620032,20,89.06091533996789,3,0.9560072637410539,3,36,3,18,0,18-0,0.710709038468074,0.5911346251720875,0.742600624022837,0.710709038468074,0.5911346251720875,0.742600624022837,0.6930944773605652,0.7631113076877862,110.3123120665487,99.87507267831981,110.3123120665487,99.87507267831981,118.58832209387116,89.62439454207771,122.01728427562512,90.20594005576262,0.969932319674319,15,0.1025551525406978,1284.0,1048.0,1129.3375,1.1369497603683574,0.9279776860327403,0,1.0,11.769675719369966,1,16,61.08542172004919
4,Virginia,ACC,30-7,115.15787966197729,26,90.24152068645971,5,0.9428843655808501,4,30,7,16,2,16-2,0.6978155850258979,0.562672301353356,0.7578316156866128,0.6978155850258979,0.562672301353356,0.7578316156866128,0.6928291323723763,0.7804063022411096,110.32415793869745,100.35662681013463,110.32415793869745,100.35662681013463,117.80883191451841,87.39616334711894,125.5577127640686,98.66548780721371,0.9411354718973409,17,0.02672212482233327,1213.0,981.0,1078.2,1.1250231867928027,0.9098497495826376,0,0.8888888888888888,8.233178154308316,4,120,59.245590099921
5,Wisconsin,B10,30-8,123.20305245860055,4,96.65453099683164,38,0.9421844632912559,5,30,8,12,6,12-6,0.7486386510163915,0.5998522720656349,0.8130281818525229,0.7486386510163915,0.5998522720656349,0.8130281818525229,0.6544722198093949,0.7614924581785062,111.01283636997448,98.77051098401512,111.01283636997448,98.77051098401512,122.53512233811203,98.32335673126062,133.77595100248504,105.73362479174239,0.9373386325057853,19,0.03445472922151949,1293.0,1203.0,1147.0875,1.12720258916604,1.0487430121939258,0,0.6666666666666666,7.959108423274335,6,92,61.9618900574747
6,Duke,ACC,26-9,126.41612770472359,1,99.35403912751013,71,0.941045669603218,6,26,9,13,5,13-5,0.716447119877439,0.6022188115959219,0.7773815220023655,0.716447119877439,0.6022188115959219,0.7773815220023655,0.6941556312779292,0.7659838906403955,110.52407427338436,99.88557389748593,110.52407427338436,99.88557389748593,126.89212625843663,97.7220148836056,143.90408758955425,111.22840963188646,0.950825420566957,13,-0.038951504181982566,1365.0,1185.0,1147.3249999999998,1.189723923038372,1.0328372518684767,0,0.7222222222222222,6.514888102947766,12,258,64.72801743514371
7,Tennessee,SEC,23-13,118.69954273804976,13,94.03079475442951,17,0.9357875192375968,7,23,13,11,7,11-7,0.6911913307062165,0.5673024318177934,0.7306862069141884,0.6911913307062165,0.5673024318177934,0.7306862069141884,0.7080492517134798,0.7781838565179308,109.70362688898281,100.52571034446382,109.70362688898281,100.52571034446382,117.6324621670096,93.22038516993392,119.96558813853257,98.29332186108536,0.9081590913361377,11,-0.13968091010774597,1249.0,1098.0,1128.3625000000002,1.106913779924448,0.9730915375156475,0,0.6111111111111112,0.4087511084067617,55,346,61.107589161564924
8,Michigan St.,B10,29-9,120.11481080288318,6,95.95319617126694,32,0.9297435291831421,8,29,9,12,6,12-6,0.7273842327801978,0.5497527319708302,0.8148127383009939,0.7273842327801978,0.5497527319708302,0.8148127383009939,0.6658598781611481,0.8018698881814454,110.9881949807663,99.69700284849891,110.9881949807663,99.69700284849891,119.46488496839278,96.43332936859312,130.12165398474053,101.0216752920098,0.9483899427838997,19,0.03373187136121769,1299.0,1192.0,1168.5125,1.1116697510724103,1.0201003412458147,0,0.6666666666666666,6.9500971346665334,10,96,64.25482063209178
9,Wichita St.,MVC,34-1,117.00837570261984,18,93.58641705972514,13,0.928816029489884,9,34,1,18,0,18-0,0.5560767306105271,0.6056719604252796,0.5141310115454553,0.5560767306105271,0.6056719604252796,0.5141310115454553,0.8340558222470917,0.7859455975198788,106.60852677422741,104.01018764575981,106.60852677422741,104.01018764575981,115.17038554789532,92.73787554389918,143.89585766939078,114.83687499183574,0.9304833324678407,3,0.09786620980303185,1330.0,1050.0,1151.3500000000001,1.1551656750770833,0.9119729013766447,0,1.0,8.232861199609136,5,19,63.14260945553892
10,Michigan,B10,28-9,125.52091710644126,3,100.62687515518485,89,0.9270416665248403,10,28,9,15,3,15-3,0.7290248274714217,0.5290226831847463,0.8260568381244839,0.7290248274714217,0.5290226831847463,0.8260568381244839,0.6358422791768309,0.7490516627757645,110.70190765663979,99.08729485151423,110.70190765663979,99.08729485151423,125.61461375003415,100.08369078665713,132.68172195419498,107.12535568353101,0.9213233897172972,21,0.06251559324295475,1315.0,1194.0,1122.1499999999999,1.1718575947957048,1.0640288731453016,0,0.8333333333333334,7.74294441747395,8,52,60.577937460444375
