RK,Team,Conf,G,ADJOE,ADJDE,BARTHAG,EFG_O,EFGD_O,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,3PR,3PRD,ADJ_T,WAB
1,Houston,B12,28,119.615,86.51,.97661,49.5226,43.91,13.45,253,37.99,29.2185,31.6219,39.4315,48.5255,43.24,34.2160,3015,35.6226,41.4305,64345,82
2,Purdue,B10,28,128.11,96.119,.96462,56.312,47.954,16.3120,14.1334,387,23.815,42.214,238,54.147,47.664,40.23,32.389,35.5227,37.6200,68.2158,9.51
3,Connecticut,BE,28,126.23,95.718,.96033,56.97,45.15,15.261,16.5221,37.210,26.988,34.3138,33.8215,58.95,448,3666,31.655,41.472,3347,64.9326,7.93
4,Arizona,P12,28,122.67,95.417,.94734,5525,48.674,15.787,18.2104,36.712,236,36.488,26.531,54.830,47.253,36.933,33.8177,31.9301,38.9245,72.812,5.17
5,Auburn,SEC,28,120.214,93.98,.94495,53.452,442,14.949,18.683,33.646,29.6200,38.641,39.9318,54.732,43.36,34.3151,30.317,38.3149,34.679,7064,3.518
6,Iowa St.,B12,28,115.341,90.22,.94436,52.495,48.159,15.997,25.82,33.254,28.2140,36.488,35.8257,52114,46.542,35.495,33.3140,31.6304,45.6354,68.4147,4.510
7,Tennessee,SEC,28,118.518,92.74,.94407,52.875,44.64,14.846,18.969,32.860,28.7162,34.7128,36.1264,53.174,43.13,34.9122,31.140,40109,40.5288,69.971,5.66
8,Marquette,BE,28,119.616,95.214,.93248,55.815,49.2105,14.846,22.311,27.1243,30.9267,25.3348,27.143,57.510,48.592,35.588,33.5152,41.763,42.1317,69.970,5.84
9,Alabama,SEC,28,128.02,102.3100,.92929,57.44,49.9147,16.3120,16.2239,35.820,30.3239,35.2116,37.6290,57.79,50.8196,38.112,32.178,47.612,36.5145,72.814,4.79
10,Kansas,B12,27,116.730,93.66,.926310,54.533,46.931,16.5141,17.1168,25.8287,2663,33.1164,29.184,55.523,44.611,34.7135,33.4146,29.7330,41.5308,69.1105,5.18
11,North Carolina,ACC,28,116.729,94.19,.922411,51.2153,46.222,14.530,15.3294,32.668,24.119,37.856,27.863,50186,46.440,35.495,30.623,36.2207,36.7150,7143,5.65
12,Saint Mary's,WCC,29,116.631,94.110,.921812,53.162,44.33,15.680,17.3154,38.74,22.61,28.2303,33.6209,53.468,42.81,35.1111,31.864,37190,29.913,62.7356,1.339
