rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank.1,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt", new,Home/Away,Win/Loss,Season,USU_rank,USU_team,USU_conf,USU_record,USU_adjoe,USU_oe Rank,USU_adjde,USU_de Rank,USU_barthag,USU_rank.1,USU_proj. W,USU_Proj. L,USU_Pro Con W,USU_Pro Con L,USU_Con Rec.,USU_sos,USU_ncsos,USU_consos,USU_Proj. SOS,USU_Proj. Noncon SOS,USU_Proj. Con SOS,USU_elite SOS,USU_elite noncon SOS,USU_Opp OE,USU_Opp DE,USU_Opp Proj. OE,USU_Opp Proj DE,USU_Con Adj OE,USU_Con Adj DE,USU_Qual O,USU_Qual D,USU_Qual Barthag,USU_Qual Games,USU_FUN,USU_ConPF,USU_ConPA,USU_ConPoss,USU_ConOE,USU_ConDE,USU_ConSOSRemain,USU_Conf Win%,USU_WAB,USU_WAB Rk,"USU_Fun Rk, adjt",USU_ new,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,USU_EFG_O,USU_EFG_D,USU_TOR,USU_TORD,USU_ORB,USU_DRB,USU_FTR,USU_FTRD,USU_2P_O,USU_2P_D,USU_3P_O,USU_3P_D,USU_ADJ_T
202,Idaho,WAC,11-18,109.63574784830254,57,112.92400942357004,332,0.4158474570008419,202,11.0,18.0,7.0,11.0,7-11,0.5144680899205669,0.5484914913226524,0.4853904040041463,0.5144680899205669,0.5484914913226524,0.4853904040041463,0.8415020200229906,0.8126651368285132,101.449999104648,100.78203985653744,101.449999104648,100.78203985653744,109.26619075947428,112.07583478910811,102.03085896022009,108.96879891244484,0.319397442013304,2,-0.0431811704008257,1235.0,1266.0,1148.25,1.0755497496189854,1.1025473546701503,0.0,0.3888888888888889,-11.41047517870032,222,272,62.04525732712618,H,W,2013,132,Utah St.,WAC,20-10,107.88995218363198,78,104.14633013928707,210,0.6001572547505151,132,20.0,10.0,11.0,7.0,11-7,0.4722831490604456,0.480705755342497,0.4654157143335836,0.4722831490604456,0.480705755342497,0.4654157143335836,0.8614135744427021,0.8465765452691681,101.51969053337228,102.722376374996,101.51969053337228,102.722376374996,105.26397725845383,102.55439510403806,120.01180238070322,119.53558240925987,0.5114290184101062,3,0.058570677027621,1195.0,1120.0,1123.0875,1.0640310750498068,0.9972508820550492,0.0,0.6111111111111112,-3.998123086311299,103,56,60.39767384167273,52.7,51.7,21.2,14.2,33.1,29.2,37.6,30.8,51.4,50.5,36.8,36.0,63.4,52.0,47.8,20.9,15.0,37.4,27.0,40.5,30.7,51.6,46.0,35.3,33.8,61.8
209,Mount St. Mary's,NEC,18-14,102.3517825257636,168,105.88327908884276,249,0.4036935610798597,209,18.0,14.0,11.0,7.0,11-7,0.4194192912242249,0.5249917112658742,0.3268431405354485,0.4194192912242249,0.5249917112658742,0.3268431405354485,0.8476539898031591,0.7145731526005903,101.84120238936389,104.76607588657416,101.84120238936389,104.76607588657416,101.04599862569329,104.33281644939834,99.15927359551628,107.91598592311836,0.2742441691528116,3,0.0627189585390354,1351.0,1287.0,1255.1125,1.07639753408559,1.025406089095599,0.0,0.6111111111111112,-7.491064410792045,162,49,65.66229027107467,H,L,2013,132,Utah St.,WAC,20-10,107.88995218363198,78,104.14633013928707,210,0.6001572547505151,132,20.0,10.0,11.0,7.0,11-7,0.4722831490604456,0.480705755342497,0.4654157143335836,0.4722831490604456,0.480705755342497,0.4654157143335836,0.8614135744427021,0.8465765452691681,101.51969053337228,102.722376374996,101.51969053337228,102.722376374996,105.26397725845383,102.55439510403806,120.01180238070322,119.53558240925987,0.5114290184101062,3,0.058570677027621,1195.0,1120.0,1123.0875,1.0640310750498068,0.9972508820550492,0.0,0.6111111111111112,-3.998123086311299,103,56,60.39767384167273,50.5,55.7,18.3,23.9,28.6,33.9,31.9,38.2,50.3,54.8,33.8,39.1,67.0,52.0,47.8,20.9,15.0,37.4,27.0,40.5,30.7,51.6,46.0,35.3,33.8,61.8
309,Texas A&M Corpus Chris,Slnd,5-23,96.12788118840328,278,110.89924574059818,315,0.1619430995883929,309,5.0,23.0,5.0,13.0,5-13,0.433625601093987,0.602570488795023,0.339767330148967,0.433625601093987,0.602570488795023,0.339767330148967,0.8539484927553219,0.7433901293306499,100.66929859233603,103.9162804330718,100.66929859233603,103.9162804330718,95.77723528879947,109.31817490248768,87.3261290701707,106.11147926923326,0.0961576523511723,3,-0.1115917252662989,1098.0,1173.0,1121.1625,0.979340639737772,1.0462354921788768,0.0,0.2777777777777778,-17.28992378808515,317,341,61.11653677599217,H,W,2013,132,Utah St.,WAC,20-10,107.88995218363198,78,104.14633013928707,210,0.6001572547505151,132,20.0,10.0,11.0,7.0,11-7,0.4722831490604456,0.480705755342497,0.4654157143335836,0.4722831490604456,0.480705755342497,0.4654157143335836,0.8614135744427021,0.8465765452691681,101.51969053337228,102.722376374996,101.51969053337228,102.722376374996,105.26397725845383,102.55439510403806,120.01180238070322,119.53558240925987,0.5114290184101062,3,0.058570677027621,1195.0,1120.0,1123.0875,1.0640310750498068,0.9972508820550492,0.0,0.6111111111111112,-3.998123086311299,103,56,60.39767384167273,45.4,51.0,18.8,19.1,29.8,34.6,32.2,47.4,45.2,49.3,30.5,36.2,62.5,52.0,47.8,20.9,15.0,37.4,27.0,40.5,30.7,51.6,46.0,35.3,33.8,61.8
76,Weber St.,BSky,28-7,108.77797777242051,66,98.68630230405472,111,0.7539277970385498,76,28.0,7.0,18.0,2.0,18-2,0.353555021204524,0.5278863143262588,0.2415443307185355,0.353555021204524,0.5278863143262588,0.2415443307185355,0.9150356371495552,0.827227433330609,100.33453035008716,106.61898582896816,100.33453035008716,106.61898582896816,107.11247671694676,98.62775033593624,99.41819150174705,84.94793126759136,0.8592302153904814,1,-0.0133628018276006,1501.0,1227.0,1311.2749999999996,1.1446874225467585,0.9357304913157044,0.0,0.9,-2.4972765779993003,77,198,63.88372422009659,H,W,2013,132,Utah St.,WAC,20-10,107.88995218363198,78,104.14633013928707,210,0.6001572547505151,132,20.0,10.0,11.0,7.0,11-7,0.4722831490604456,0.480705755342497,0.4654157143335836,0.4722831490604456,0.480705755342497,0.4654157143335836,0.8614135744427021,0.8465765452691681,101.51969053337228,102.722376374996,101.51969053337228,102.722376374996,105.26397725845383,102.55439510403806,120.01180238070322,119.53558240925987,0.5114290184101062,3,0.058570677027621,1195.0,1120.0,1123.0875,1.0640310750498068,0.9972508820550492,0.0,0.6111111111111112,-3.998123086311299,103,56,60.39767384167273,56.0,44.4,18.7,16.6,29.6,25.3,39.6,33.6,53.7,44.7,40.6,28.9,65.2,52.0,47.8,20.9,15.0,37.4,27.0,40.5,30.7,51.6,46.0,35.3,33.8,61.8
72,Santa Clara,WCC,24-12,110.10349490793732,52,99.53393831377792,125,0.7614424990924619,72,24.0,12.0,9.0,7.0,9-7,0.5337319603335459,0.4110629307106639,0.5953846569046821,0.5337319603335459,0.4110629307106639,0.5953846569046821,0.7932367647845192,0.8392497487831864,103.2375943244902,100.65636107887003,103.2375943244902,100.65636107887003,109.8374801687656,100.01686538082215,122.33331968961387,111.81042491451169,0.7377609612348404,8,0.0078125717068814,1130.0,1118.0,1064.4374999999998,1.061593564676179,1.050320004697317,0.0,0.5625,-3.162488824831244,88,151,67.18620897684197,A,W,2013,132,Utah St.,WAC,20-10,107.88995218363198,78,104.14633013928707,210,0.6001572547505151,132,20.0,10.0,11.0,7.0,11-7,0.4722831490604456,0.480705755342497,0.4654157143335836,0.4722831490604456,0.480705755342497,0.4654157143335836,0.8614135744427021,0.8465765452691681,101.51969053337228,102.722376374996,101.51969053337228,102.722376374996,105.26397725845383,102.55439510403806,120.01180238070322,119.53558240925987,0.5114290184101062,3,0.058570677027621,1195.0,1120.0,1123.0875,1.0640310750498068,0.9972508820550492,0.0,0.6111111111111112,-3.998123086311299,103,56,60.39767384167273,50.7,47.5,18.3,21.1,32.8,33.4,37.0,42.0,48.9,45.8,35.8,34.3,68.5,52.0,47.8,20.9,15.0,37.4,27.0,40.5,30.7,51.6,46.0,35.3,33.8,61.8
35,Oregon,P12,28-9,105.94254270610996,111,90.0912136672946,12,0.8657455230639296,35,28.0,9.0,12.0,6.0,12-6,0.6520374818023096,0.4027569308449598,0.7688485680012638,0.6520374818023096,0.4027569308449598,0.7688485680012638,0.7364946356640538,0.8723282915923569,105.10457360874122,98.48385736034976,105.10457360874122,98.48385736034976,102.88817942279496,91.774886937758,113.52417054832912,96.66014201142012,0.8640529174372343,11,0.0746268615682254,1211.0,1187.0,1229.8,0.9847129614571476,0.96519759310457,0.0,0.6666666666666666,2.899014474542942,26,31,67.8437686163965,H,W,2013,132,Utah St.,WAC,20-10,107.88995218363198,78,104.14633013928707,210,0.6001572547505151,132,20.0,10.0,11.0,7.0,11-7,0.4722831490604456,0.480705755342497,0.4654157143335836,0.4722831490604456,0.480705755342497,0.4654157143335836,0.8614135744427021,0.8465765452691681,101.51969053337228,102.722376374996,101.51969053337228,102.722376374996,105.26397725845383,102.55439510403806,120.01180238070322,119.53558240925987,0.5114290184101062,3,0.058570677027621,1195.0,1120.0,1123.0875,1.0640310750498068,0.9972508820550492,0.0,0.6111111111111112,-3.998123086311299,103,56,60.39767384167273,49.3,46.4,21.4,22.0,35.8,27.2,38.4,33.3,49.1,44.9,33.3,33.4,69.2,52.0,47.8,20.9,15.0,37.4,27.0,40.5,30.7,51.6,46.0,35.3,33.8,61.8
304,Utah Valley,GWC,10-18,97.85437914589838,245,111.874367914465,324,0.1765636352104557,304,10.0,18.0,3.0,5.0,3-5,0.342296150749744,0.4185432942116368,0.1889898166193872,0.342296150749744,0.4185432942116368,0.1889898166193872,0.9069538772578848,0.8762174612856145,97.43456795917628,103.96672648430514,97.43456795917628,103.96672648430514,95.59995096415128,107.92382830002512,0.0,0.0,0.0,0,0.0078981285089082,509.0,497.0,517.675,0.9832423818032552,0.9600618148452216,0.0,0.375,-14.1518811425691,282,149,63.142458925873115,A,W,2013,132,Utah St.,WAC,20-10,107.88995218363198,78,104.14633013928707,210,0.6001572547505151,132,20.0,10.0,11.0,7.0,11-7,0.4722831490604456,0.480705755342497,0.4654157143335836,0.4722831490604456,0.480705755342497,0.4654157143335836,0.8614135744427021,0.8465765452691681,101.51969053337228,102.722376374996,101.51969053337228,102.722376374996,105.26397725845383,102.55439510403806,120.01180238070322,119.53558240925987,0.5114290184101062,3,0.058570677027621,1195.0,1120.0,1123.0875,1.0640310750498068,0.9972508820550492,0.0,0.6111111111111112,-3.998123086311299,103,56,60.39767384167273,49.6,50.5,18.9,17.3,25.7,30.1,30.5,27.4,50.3,50.0,32.1,34.4,64.5,52.0,47.8,20.9,15.0,37.4,27.0,40.5,30.7,51.6,46.0,35.3,33.8,61.8
292,Nicholls St.,Slnd,9-21,98.603045780283,235,110.80161152643149,313,0.2072880696046725,292,9.0,21.0,8.0,10.0,8-10,0.4053383474225727,0.5430957597456517,0.3347052036282255,0.4053383474225727,0.5430957597456517,0.3347052036282255,0.8605071535191647,0.758413038013511,99.46218902858428,104.27029974100988,99.46218902858428,104.27029974100988,98.86898406611704,107.86165728351028,86.29868476604035,104.4960600528866,0.0997188285089615,2,-0.0653129186675295,1274.0,1294.0,1252.7875,1.0169322411023418,1.0328966404917037,0.0,0.4444444444444444,-15.204704311097917,298,301,65.89575084197219,H,W,2013,132,Utah St.,WAC,20-10,107.88995218363198,78,104.14633013928707,210,0.6001572547505151,132,20.0,10.0,11.0,7.0,11-7,0.4722831490604456,0.480705755342497,0.4654157143335836,0.4722831490604456,0.480705755342497,0.4654157143335836,0.8614135744427021,0.8465765452691681,101.51969053337228,102.722376374996,101.51969053337228,102.722376374996,105.26397725845383,102.55439510403806,120.01180238070322,119.53558240925987,0.5114290184101062,3,0.058570677027621,1195.0,1120.0,1123.0875,1.0640310750498068,0.9972508820550492,0.0,0.6111111111111112,-3.998123086311299,103,56,60.39767384167273,48.7,52.1,20.2,20.9,30.1,35.1,40.0,39.3,50.1,51.1,30.5,36.5,67.2,52.0,47.8,20.9,15.0,37.4,27.0,40.5,30.7,51.6,46.0,35.3,33.8,61.8
205,UC Davis,BW,14-17,104.385761788926,135,107.71616958287044,278,0.4106754348412815,205,14.0,17.0,9.0,9.0,9-9,0.4172460382618703,0.4300159747051189,0.4060706507078798,0.4172460382618703,0.4300159747051189,0.4060706507078798,0.8846178474065726,0.8397868208724297,101.74061132100448,104.95231459747568,101.74061132100448,104.95231459747568,104.34687074163524,106.2177155074467,97.1205942701608,97.47915678961648,0.4894068296892908,2,-0.0522959886951857,1283.0,1279.0,1204.5875,1.0650948976309316,1.061774258823041,0.0,0.5,-11.793203403109745,239,286,66.18188834363987,H,W,2013,132,Utah St.,WAC,20-10,107.88995218363198,78,104.14633013928707,210,0.6001572547505151,132,20.0,10.0,11.0,7.0,11-7,0.4722831490604456,0.480705755342497,0.4654157143335836,0.4722831490604456,0.480705755342497,0.4654157143335836,0.8614135744427021,0.8465765452691681,101.51969053337228,102.722376374996,101.51969053337228,102.722376374996,105.26397725845383,102.55439510403806,120.01180238070322,119.53558240925987,0.5114290184101062,3,0.058570677027621,1195.0,1120.0,1123.0875,1.0640310750498068,0.9972508820550492,0.0,0.6111111111111112,-3.998123086311299,103,56,60.39767384167273,55.1,49.6,20.7,15.7,26.4,30.7,32.9,31.0,51.5,46.5,40.5,36.8,67.5,52.0,47.8,20.9,15.0,37.4,27.0,40.5,30.7,51.6,46.0,35.3,33.8,61.8
173,Southern Illinois,MVC,13-17,101.51977010755152,185,102.21991186374424,169,0.480250600204917,173,13.0,17.0,6.0,12.0,6-12,0.5831583489608201,0.4168337887706524,0.6939673516416462,0.5831583489608201,0.4168337887706524,0.6939673516416462,0.7841864285886605,0.8545103631566264,104.12161066858292,100.61523793509755,104.12161066858292,100.61523793509755,102.41805897746602,103.18253145761834,106.86277549995376,109.6871609698611,0.4255579700085383,6,0.0303638945235978,1090.0,1213.0,1116.9125,0.9759045583248462,1.0860295681174663,0.0,0.3333333333333333,-8.172741254186962,187,94,61.71218313652589,H,W,2013,132,Utah St.,WAC,20-10,107.88995218363198,78,104.14633013928707,210,0.6001572547505151,132,20.0,10.0,11.0,7.0,11-7,0.4722831490604456,0.480705755342497,0.4654157143335836,0.4722831490604456,0.480705755342497,0.4654157143335836,0.8614135744427021,0.8465765452691681,101.51969053337228,102.722376374996,101.51969053337228,102.722376374996,105.26397725845383,102.55439510403806,120.01180238070322,119.53558240925987,0.5114290184101062,3,0.058570677027621,1195.0,1120.0,1123.0875,1.0640310750498068,0.9972508820550492,0.0,0.6111111111111112,-3.998123086311299,103,56,60.39767384167273,48.0,53.1,19.4,24.2,31.7,31.9,34.1,42.5,48.1,51.8,31.8,36.9,63.1,52.0,47.8,20.9,15.0,37.4,27.0,40.5,30.7,51.6,46.0,35.3,33.8,61.8
