rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank.1,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt", new,Home/Away,Win/Loss,Season,USU_rank,USU_team,USU_conf,USU_record,USU_adjoe,USU_oe Rank,USU_adjde,USU_de Rank,USU_barthag,USU_rank.1,USU_proj. W,USU_Proj. L,USU_Pro Con W,USU_Pro Con L,USU_Con Rec.,USU_sos,USU_ncsos,USU_consos,USU_Proj. SOS,USU_Proj. Noncon SOS,USU_Proj. Con SOS,USU_elite SOS,USU_elite noncon SOS,USU_Opp OE,USU_Opp DE,USU_Opp Proj. OE,USU_Opp Proj DE,USU_Con Adj OE,USU_Con Adj DE,USU_Qual O,USU_Qual D,USU_Qual Barthag,USU_Qual Games,USU_FUN,USU_ConPF,USU_ConPA,USU_ConPoss,USU_ConOE,USU_ConDE,USU_ConSOSRemain,USU_Conf Win%,USU_WAB,USU_WAB Rk,"USU_Fun Rk, adjt",USU_ new
248,Montana,BSky,18-14,99.87974010500588,226,106.3007603112045,259,0.3281610617820424,248,18,14,11,9,11-9,0.311698946695629,0.2968856418075071,0.3129903478718375,0.311698946695629,0.2968856418075071,0.3129903478718375,0.918101223759493,0.8800860244225902,100.2858087728131,107.22408646974108,100.2858087728131,107.22408646974108,101.8519537782536,105.91716794910415,80.49630773327462,116.0000342380279,0.0147469758637764,2,-0.0039468119511517,1442.0,1405.0,1353.2875,1.0655533284686365,1.038212501039136,0,0.55,-9.918432369134033,226,186,65.26731318107029,H,W,2022,54,Utah St.,MWC,18-16,109.1677364737976,56,96.45215868216668,68,0.8059869497810564,54,18,16,8,10,8-10,0.595284605417782,0.5316967288227331,0.6386781586832755,0.595284605417782,0.5316967288227331,0.6386781586832755,0.7842439532748233,0.804027303229297,104.519795638072,99.35527862233008,104.519795638072,99.35527862233008,107.96791475535385,96.3131985246648,128.66033725634517,114.35707652373311,0.7949908455315944,9,-0.1341763095584821,1257.0,1176.0,1200.7,1.0468893145665028,0.9794286666111436,0,0.4444444444444444,-4.716132573315772,123,355,66.70202721500947
209,UC Davis,BW,13-11,97.44449692738937,269,100.68258686803392,141,0.4071079476272647,209,14,10,6,6,6-6,0.3383562717255028,0.3126603275107297,0.3591755330063124,0.3383562717255028,0.3126603275107297,0.3591755330063124,0.9241734208850038,0.9142593911867604,99.49082407832432,104.76258604662443,99.49082407832432,104.76258604662443,100.01199200778916,103.99070818152993,99.86170417016112,84.39378055769444,0.8738419964731965,1,-0.0502981614434493,812.0,803.0,796.475,1.019492137229668,1.0081923475313097,0,0.5,-8.052243347455587,184,284,67.27461255441901,H,L,2022,54,Utah St.,MWC,18-16,109.1677364737976,56,96.45215868216668,68,0.8059869497810564,54,18,16,8,10,8-10,0.595284605417782,0.5316967288227331,0.6386781586832755,0.595284605417782,0.5316967288227331,0.6386781586832755,0.7842439532748233,0.804027303229297,104.519795638072,99.35527862233008,104.519795638072,99.35527862233008,107.96791475535385,96.3131985246648,128.66033725634517,114.35707652373311,0.7949908455315944,9,-0.1341763095584821,1257.0,1176.0,1200.7,1.0468893145665028,0.9794286666111436,0,0.4444444444444444,-4.716132573315772,123,355,66.70202721500947
93,Richmond,A10,24-13,106.94733670551906,85,99.05589080464404,117,0.7071332345365641,93,24,13,10,8,10-8,0.6309196314836921,0.5803970924235912,0.6095300550818269,0.6309196314836921,0.5803970924235912,0.6095300550818269,0.7886559715288056,0.8216602101855754,105.0631754939867,99.65957710100832,105.0631754939867,99.65957710100832,107.29353868273868,101.0368641851556,102.33265380575048,97.3627716457704,0.6393459186626708,6,0.0987818780442086,1263.0,1239.0,1214.5624999999998,1.0398806154479496,1.0201204137292237,0,0.5555555555555556,-1.648903808679144,74,17,66.68887366656352,N,W,2022,54,Utah St.,MWC,18-16,109.1677364737976,56,96.45215868216668,68,0.8059869497810564,54,18,16,8,10,8-10,0.595284605417782,0.5316967288227331,0.6386781586832755,0.595284605417782,0.5316967288227331,0.6386781586832755,0.7842439532748233,0.804027303229297,104.519795638072,99.35527862233008,104.519795638072,99.35527862233008,107.96791475535385,96.3131985246648,128.66033725634517,114.35707652373311,0.7949908455315944,9,-0.1341763095584821,1257.0,1176.0,1200.7,1.0468893145665028,0.9794286666111436,0,0.4444444444444444,-4.716132573315772,123,355,66.70202721500947
220,Penn,Ivy,12-16,105.20504284599924,117,109.62389652280632,311,0.3838691259312186,220,12,16,9,5,9-5,0.5196555963458745,0.6351285094748609,0.4106410243396481,0.5196555963458745,0.6351285094748609,0.4106410243396481,0.8288309686944187,0.7396390697219837,102.44598269782432,101.73572235761824,102.44598269782432,101.73572235761824,105.61135094813956,108.74936272971604,134.7166269458915,140.7508012181854,0.3766244430743689,3,0.0479848524335631,1058.0,1049.0,993.9875000000002,1.0643997032155834,1.0553452633961693,0,0.6428571428571429,-8.847948684742269,201,75,67.94826115313697,N,W,2022,54,Utah St.,MWC,18-16,109.1677364737976,56,96.45215868216668,68,0.8059869497810564,54,18,16,8,10,8-10,0.595284605417782,0.5316967288227331,0.6386781586832755,0.595284605417782,0.5316967288227331,0.6386781586832755,0.7842439532748233,0.804027303229297,104.519795638072,99.35527862233008,104.519795638072,99.35527862233008,107.96791475535385,96.3131985246648,128.66033725634517,114.35707652373311,0.7949908455315944,9,-0.1341763095584821,1257.0,1176.0,1200.7,1.0468893145665028,0.9794286666111436,0,0.4444444444444444,-4.716132573315772,123,355,66.70202721500947
76,New Mexico St.,WAC,27-7,105.99714658027044,100,96.0151563526086,54,0.7572056965888366,76,27,7,13,4,13-4,0.5018141789319054,0.4614943044471917,0.467724209272125,0.5018141789319054,0.4614943044471917,0.467724209272125,0.8464497533996145,0.8506424896518985,102.25691621793716,100.23298455262406,102.25691621793716,100.23298455262406,104.60786814763264,96.65955190298942,117.67144860477096,97.19477222045356,0.9001204861578505,4,0.0944649023582334,1211.0,1071.0,1159.5749999999998,1.0443481447944292,0.9236142552228188,0,0.7647058823529411,0.7055726237822321,50,20,66.1256722718414,N,W,2022,54,Utah St.,MWC,18-16,109.1677364737976,56,96.45215868216668,68,0.8059869497810564,54,18,16,8,10,8-10,0.595284605417782,0.5316967288227331,0.6386781586832755,0.595284605417782,0.5316967288227331,0.6386781586832755,0.7842439532748233,0.804027303229297,104.519795638072,99.35527862233008,104.519795638072,99.35527862233008,107.96791475535385,96.3131985246648,128.66033725634517,114.35707652373311,0.7949908455315944,9,-0.1341763095584821,1257.0,1176.0,1200.7,1.0468893145665028,0.9794286666111436,0,0.4444444444444444,-4.716132573315772,123,355,66.70202721500947
29,Oklahoma,B12,19-16,110.58313619298062,40,94.09488705803037,36,0.8649275864173034,29,19,16,7,11,7-11,0.7307389719081103,0.5009861672431752,0.8783818635347702,0.7307389719081103,0.5009861672431752,0.8783818635347702,0.6319412460864573,0.817117644587757,107.15347136308264,95.50825488171596,107.15347136308264,95.50825488171596,111.12381570690488,95.16874390008527,120.06234560975584,102.59886516994396,0.8590738929212824,18,-0.0312540676363806,1168.0,1213.0,1184.35,0.9861949592603536,1.024190484231857,0,0.3888888888888889,1.085080337877645,48,244,65.16224335298031,N,W,2022,54,Utah St.,MWC,18-16,109.1677364737976,56,96.45215868216668,68,0.8059869497810564,54,18,16,8,10,8-10,0.595284605417782,0.5316967288227331,0.6386781586832755,0.595284605417782,0.5316967288227331,0.6386781586832755,0.7842439532748233,0.804027303229297,104.519795638072,99.35527862233008,104.519795638072,99.35527862233008,107.96791475535385,96.3131985246648,128.66033725634517,114.35707652373311,0.7949908455315944,9,-0.1341763095584821,1257.0,1176.0,1200.7,1.0468893145665028,0.9794286666111436,0,0.4444444444444444,-4.716132573315772,123,355,66.70202721500947
235,UT Arlington,SB,11-18,96.21221560844828,289,101.52973913491115,156,0.3500891550054713,235,11,18,7,10,7-10,0.483912317164384,0.5632812321194492,0.4325467270603904,0.483912317164384,0.5632812321194492,0.4325467270603904,0.8344185575554672,0.7218880555276,101.73741486981622,100.86029725091733,101.73741486981622,100.86029725091733,100.73951355594984,103.38996690207766,85.66020563937363,104.20648084269068,0.0950188833863193,5,-0.020883597773079,1172.0,1175.0,1155.1249999999998,1.0146088085705012,1.0172059300941458,0,0.4117647058823529,-11.022111940246672,241,218,65.42019101915706,H,W,2022,54,Utah St.,MWC,18-16,109.1677364737976,56,96.45215868216668,68,0.8059869497810564,54,18,16,8,10,8-10,0.595284605417782,0.5316967288227331,0.6386781586832755,0.595284605417782,0.5316967288227331,0.6386781586832755,0.7842439532748233,0.804027303229297,104.519795638072,99.35527862233008,104.519795638072,99.35527862233008,107.96791475535385,96.3131985246648,128.66033725634517,114.35707652373311,0.7949908455315944,9,-0.1341763095584821,1257.0,1176.0,1200.7,1.0468893145665028,0.9794286666111436,0,0.4444444444444444,-4.716132573315772,123,355,66.70202721500947
257,Mount St. Mary's,NEC,14-16,95.42502148794983,300,102.17628600356326,177,0.3130010741875273,257,14,16,9,9,9-9,0.333410168131739,0.44948186123087,0.2460066566765168,0.333410168131739,0.44948186123087,0.2460066566765168,0.8872554111343253,0.7954680558175348,99.05306493640369,105.5337789994042,99.05306493640369,105.5337789994042,95.02124521980286,100.27967387595857,96.13997598431904,110.47385616822812,0.1682337077798493,2,-0.0576328660336973,1037.0,966.0,1023.6374999999998,1.0130539375511352,0.9436934461662456,0,0.5,-11.20817398684979,245,293,63.492444500541126,H,L,2022,54,Utah St.,MWC,18-16,109.1677364737976,56,96.45215868216668,68,0.8059869497810564,54,18,16,8,10,8-10,0.595284605417782,0.5316967288227331,0.6386781586832755,0.595284605417782,0.5316967288227331,0.6386781586832755,0.7842439532748233,0.804027303229297,104.519795638072,99.35527862233008,104.519795638072,99.35527862233008,107.96791475535385,96.3131985246648,128.66033725634517,114.35707652373311,0.7949908455315944,9,-0.1341763095584821,1257.0,1176.0,1200.7,1.0468893145665028,0.9794286666111436,0,0.4444444444444444,-4.716132573315772,123,355,66.70202721500947
74,BYU,WCC,24-11,108.4028830931774,67,97.8447039368528,90,0.7646673486218023,74,24,11,9,6,9-6,0.5867201822793542,0.5622381691433933,0.5996440065779223,0.5867201822793542,0.5622381691433933,0.5996440065779223,0.7747831205914235,0.8178854312210746,105.04004569207709,98.86565066105358,105.04004569207709,98.86565066105358,106.54175718107696,99.54359208468448,118.88309821468133,108.50696002675906,0.7408234258795819,8,0.0646437338180123,1094.0,1079.0,1054.6875,1.037274074074074,1.023051851851852,0,0.6,0.3288514987736906,53,48,67.8444201024577,A,L,2022,54,Utah St.,MWC,18-16,109.1677364737976,56,96.45215868216668,68,0.8059869497810564,54,18,16,8,10,8-10,0.595284605417782,0.5316967288227331,0.6386781586832755,0.595284605417782,0.5316967288227331,0.6386781586832755,0.7842439532748233,0.804027303229297,104.519795638072,99.35527862233008,104.519795638072,99.35527862233008,107.96791475535385,96.3131985246648,128.66033725634517,114.35707652373311,0.7949908455315944,9,-0.1341763095584821,1257.0,1176.0,1200.7,1.0468893145665028,0.9794286666111436,0,0.4444444444444444,-4.716132573315772,123,355,66.70202721500947
288,New Orleans,Slnd,18-14,95.91588189712286,294,105.80425699255994,251,0.2444619366156322,288,18,14,10,4,10-4,0.2928723371687255,0.3576050175038364,0.2217423865117114,0.2928723371687255,0.3576050175038364,0.2217423865117114,0.9166186945633594,0.8658159995190061,99.8079487316598,107.7719539107907,99.8079487316598,107.7719539107907,97.03766678495674,104.38253433129684,85.18522120972979,106.97286007663232,0.0679197033161129,2,0.0396888634622515,1117.0,1045.0,1063.55,1.0502562173851724,0.9825584128625828,0,0.7142857142857143,-9.09753376693294,208,88,71.90033220246714,H,W,2022,54,Utah St.,MWC,18-16,109.1677364737976,56,96.45215868216668,68,0.8059869497810564,54,18,16,8,10,8-10,0.595284605417782,0.5316967288227331,0.6386781586832755,0.595284605417782,0.5316967288227331,0.6386781586832755,0.7842439532748233,0.804027303229297,104.519795638072,99.35527862233008,104.519795638072,99.35527862233008,107.96791475535385,96.3131985246648,128.66033725634517,114.35707652373311,0.7949908455315944,9,-0.1341763095584821,1257.0,1176.0,1200.7,1.0468893145665028,0.9794286666111436,0,0.4444444444444444,-4.716132573315772,123,355,66.70202721500947
