Date,Opponent,Home/Away,Win/Loss,Score,Game Type,Attendance
2010-10-30,Laval,H,W,93-51,Exhibition,"6,888"
2010-11-05,Grand Canyon,H,W,76-46,Exhibition,
2010-11-13,Weber State,H,W,77-65,Non-Conference,"9,014"
2010-11-17,BYU,A,L,72-78,Non-Conference,"17,303"
2010-11-20,Southern Utah,A,W,66-53,Non-Conference,"4,303"
2010-11-24,Utah,H,W,79-62,Non-Conference,"8,368"
2010-11-27,Northeastern,H,W,56-54,Non-Conference,"6,761"
2010-12-01,Denver,A,W,61-53,Non-Conference,"2,580"
2010-12-04,Georgetown,A,L,51-68,Non-Conference,"12,106"
2010-12-07,Long Beach State,H,W,81-53,Non-Conference,"7,565"
2010-12-11,Cal State Bakersfield,H,W,77-58,Non-Conference,"8,194"
2010-12-18,Utah Valley,A,W,76-58,Non-Conference,"7,124"
2010-12-21,Idaho State,H,W,71-48,World Vision Invitational,"8,145"
2010-12-22,Western Michigan,H,W,78-57,World Vision Invitational,"7,975"
2010-12-23,Troy,H,W,80-39,World Vision Invitational,"8,323"
2010-12-29,Hawai'i,H,W,74-66,Conference,"7,025"
2010-12-31,San Jose State,H,W,80-71,Conference,"6,732"
2011-01-08,Nevada,A,W,81-67,Conference,"4,339"
2011-01-13,Boise State,A,W,68-59,Conference,"8,825"
2011-01-15,Fresno State,A,W,52-39,Conference,"7,396"
2011-01-20,Louisiana Tech,H,W,74-57,Conference,"9,768"
2011-01-22,New Mexico State,H,W,59-49,Conference,"10,013"
2011-01-27,San Jose State,A,W,84-65,Conference,"2,391"
2011-01-29,Hawai'i,A,W,89-84 (2OT),Conference,"8,127"
2011-02-02,Nevada,H,W,67-45,Conference,"9,837"
2011-02-05,Boise State,H,W,77-49,Conference,"10,270"
2011-02-09,Idaho,A,L,56-64,Conference,"1,512"
2011-02-12,Fresno State,H,W,71-55,Conference,"10,246"
2011-02-16,Montana Western,H,W,100-66,Non-Conference,"9,943"
2011-02-19,St. Mary's,A,W,75-65,BracketBuster,"3,500"
2011-02-26,Idaho,H,W,84-68,Conference,"10,270"
2011-03-02,New Mexico State,A,W,58-54,Conference,"6,602"
2011-03-05,Louisiana Tech,A,W,72-30,Conference,"2,141"
2011-03-11,San Jose State,N,W,58-54,WAC Tournament,"3,904"
2011-03-12,Boise State,N,W,77-69,WAC Tournament,"4,372"
2011-03-17,Kansas State,N,L,68-73,NCAA Tournament,"10,293"
