Date,Time,Opponent,Home/Away,Win/Loss,Score,Game Type,Attendance
2023-11-03,7:00 pm (MT),Montana State University Billings,H,W,73-64,Exhibition,"4,825"
2023-11-06,7:30 pm (MT),South Dakota Mines,H,W,101-48,Non-Conference,"5,753"
2023-11-11,6:00 pm (MT),Bradley,A,L,66-72 (OT),Non-Conference,"5,845"
2023-11-14,7:00 pm (MT),Southern Utah,H,W,93-84,Non-Conference,"7,112"
2023-11-19,3:00 pm (MT),Marshall,N,W,83-60,Cayman Islands Classic,"1,100"
2023-11-20,5:30 pm (MT),Akron,N,W,65-62,Cayman Islands Classic,"1,200"
2023-11-21,5:30 pm (MT),Stephen F. Austin,N,W,79-49,Cayman Islands Classic,"1,531"
2023-11-28,6:00 pm (MT),Saint Louis,A,W,81-76,Non-Conference,"4,721"
2023-12-02,7:00 pm (MT),UC Irvine,H,W,79-69,Non-Conference,"7,880"
2023-12-06,7:00 pm (MT),San Diego,H,W,108-81,Non-Conference,"7,078"
2023-12-09,7:00 pm (MT),Northwest Nazarene,H,W,84-53,Non-Conference,"4,950"
2023-12-13,8:00 pm (MT),Santa Clara,A,W,84-82,Non-Conference,"1,107"
2023-12-16,2:00 pm (MT),San Francisco,N,W,54-53,Non-Conference,"4,352"
2023-12-22,7:00 pm (MT),ETSU,H,W,80-65,Non-Conference,"6,804"
2024-01-02,7:00 pm (MT),Air Force,A,W,88-60,Conference,945
2024-01-06,7:00 pm (MT),Colorado State,H,W,77-72,Conference,"10,270"
2024-01-09,7:00 pm (MT),Wyoming,H,W,83-59,Conference,"8,214"
2024-01-13,1:00 pm (MT),UNLV,A,W,87-86,Conference,"5,992"
2024-01-16,8:30 pm (MT),New Mexico,A,L,86-99,Conference,"13,106"
2024-01-20,7:00 pm (MT),Fresno State,H,W,83-62,Conference,"8,851"
2024-01-27,2:00 pm (MT),Boise State,A,W,90-84 (OT),Conference,"12,058"
2024-01-30,7:00 pm (MT),San Jose State,H,W,82-61,Conference,"8,599"
2024-02-03,1:30 pm (MT),San Diego State,A,L,67-81,Conference,"12,414"
2024-02-06,7:00 pm (MT),Nevada,H,L,63-77,Conference,"8,860"
2024-02-10,8:00 pm (MT),Boise State,H,W,80-61,Conference,"10,270"
2024-02-14,8:00 pm (MT),Wyoming,A,W,84-76,Conference,"3,401"
2024-02-17,5:30 pm (MT),Colorado State,A,L,55-75,Conference,"8,083"
2024-02-20,7:00 pm (MT),San Diego State,H,W,68-63,Conference,"9,233"
2024-02-27,8:00 pm (MT),Fresno State,A,W,77-73 (OT),Conference,"3,785"
2024-03-01,9:00 pm (MT),Air Force,H,,-,Conference,
2024-03-06,8:30 pm (MT),San Jose State,A,,-,Conference,
2024-03-09,6:30 pm (MT),New Mexico,H,,-,Conference,
